,地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
3249,30,2020/7/22,8280.0,101.8,81.35,56.48%,住宅大樓(11層含以上有電梯),20+,一層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,,,有,有,0,
3250,30,2020/1/10,9200.0,111.4,82.56,56.69%,住宅大樓(11層含以上有電梯),20+,一層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,31,,有,,0,含增建或未登記建物。;
3251,30,2019/9/12,1100.0,55.3,19.89,,住宅大樓(11層含以上有電梯),20+,十三層/十四層,房地(土地+建物),土:1 建:1車:0,8,,有,,0,親友、員工或其他特殊關係間之交易。;
3252,30,2019/4/17,7710.0,93.9,82.07,64.13%,住宅大樓(11層含以上有電梯),20+,一層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,8,,有,,0,鄰居間買賣親友、員工或其他特殊關係間之交易。;
3253,30,2019/4/17,8290.0,95.5,86.76,64.64%,住宅大樓(11層含以上有電梯),20+,一層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,8,,有,,0,鄰居間買賣親友、員工或其他特殊關係間之交易。;
3254,30,2019/3/12,1092.0,58.6,18.65,51.96%,住宅大樓(11層含以上有電梯),20+,十三層/十四層,房地(土地+建物)+車位,土:1 建:1車:2,8,,無,,0,親友、員工或其他特殊關係間之交易。;
3255,30,2023/12/5,497876.4,144.3,3450.29,43.57%,住宅大樓(11層含以上有電梯),11~20,地下二層/三十層,房地(土地+建物)+車位,土:1 建:1車:32,,,有,有,1,"含營業稅39,514,000元"
3256,30,2022/12/2,145188.0,175.3,828.21,44.54%,住宅大樓(11層含以上有電梯),11~20,十五層/三十層,房地(土地+建物)+車位,土:1 建:3車:10,,,有,有,2,陽台外推;
3257,30,2020/9/25,62187.2,156.0,398.64,54.95%,住宅大樓(11層含以上有電梯),11~20,二十九層/三十層,房地(土地+建物)+車位,土:1 建:2車:4,,,有,有,2,
3258,30,2019/6/18,53011.0,133.1,398.35,,辦公商業大樓,11~20,十八層/三十層,房地(土地+建物)+車位,土:1 建:1車:4,,,有,,2,
