,地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
0,0,2020/5/14,4913.9,67.3,73.02,48.71%,住宅大樓(11層含以上有電梯),2~5,九層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,0,58,有,,0,建物第一次登記後移轉 向政府機關承購之案件。;
1,0,2020/5/13,4888.0,77.4,73.02,57.04%,住宅大樓(11層含以上有電梯),2~5,八層/十四層,房地(土地+建物)+車位,土:1 建:2車:1,0,58,有,,0,向政府機關承購之案件。;
2,1,2023/11/20,4030.0,86.2,48.22,78.25%,住宅大樓(11層含以上有電梯),20+,八層/十二層,房地(土地+建物)+車位,土:5 建:1車:1,1,80,有,有,1,
3,1,2022/10/2,2390.0,124.1,19.25,56.58%,住宅大樓(11層含以上有電梯),11~20,二層/十一層,房地(土地+建物)+車位,土:3 建:1車:1,2,80,有,有,2,車位所在樓層:B1夾層;
4,2,2020/3/4,1400.0,50.7,27.61,,辦公商業大樓,20+,八層/十七層,房地(土地+建物)+車位,土:2 建:1車:1,,100,有,,1,親友、員工或其他特殊關係間之交易。;
5,2,2020/1/12,1420.0,57.3,26.35,71.78%,套房(1房(1廳)1衛),20+,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,100,有,,1,含增建或未登記建物。;
6,3,2020/1/12,1650.0,41.9,48.42,83.77%,公寓(5樓含以下無電梯),20+,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,5,100,無,,0,含增建或未登記建物。
7,1,2020/6/23,1606.0,97.9,20.75,54.98%,住宅大樓(11層含以上有電梯),20+,七層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,4,100,有,有,1,
8,1,2020/2/8,1220.0,52.4,23.3,42.78%,住宅大樓(11層含以上有電梯),20+,八層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,6,100,有,,0,含增建或未登記建物。;
9,2,2019/4/6,2588.0,51.7,61.97,,辦公商業大樓,20+,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,7,120,有,,1,
10,2,2022/1/26,1347.0,89.0,15.13,62.18%,住宅大樓(11層含以上有電梯),11~20,六層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,4,120,有,有,3,車位所在樓層:地上一
11,3,2023/1/6,3130.0,53.0,59.07,70.23%,華廈(10層含以下有電梯),20+,五層/六層,房地(土地+建物)+車位,土:1 建:1車:1,8,120,無,有,0,其他增建;
12,1,2021/7/7,1270.0,65.7,19.33,46.60%,住宅大樓(11層含以上有電梯),20+,十二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,120,有,有,0,陽台外推;夾層;其他增建;
13,4,2020/5/21,1635.0,68.7,30.1,46.69%,華廈(10層含以下有電梯),2~5,五層/六層,房地(土地+建物)+車位,土:1 建:1車:1,4,135,無,,0,
14,1,2022/3/17,3640.0,93.8,41.46,60.98%,住宅大樓(11層含以上有電梯),20+,九層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,2,140,有,有,0,陽台外推;
15,5,2021/11/20,2125.0,82.4,27.85,66.60%,華廈(10層含以下有電梯),11~20,二層/八層,房地(土地+建物)+車位,土:1 建:1車:1,9,145,有,有,0,
16,6,2020/7/18,4550.0,87.9,51.76,51.93%,住宅大樓(11層含以上有電梯),6~10,十層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,8,150,有,有,2,夾層;其他增建;
17,5,2021/9/13,2180.0,84.5,27.84,56.13%,華廈(10層含以下有電梯),11~20,七層/八層,房地(土地+建物)+車位,土:1 建:1車:1,9,150,有,有,0,夾層;其他增建;
18,2,2022/10/9,1460.0,78.2,20.08,81.47%,住宅大樓(11層含以上有電梯),20+,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,7,150,有,有,1,
19,2,2020/4/13,3000.0,54.3,56.86,,辦公商業大樓,20+,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,10,150,有,,1,含增建或未登記建物。房地交易總價3000萬(含車位)拆分土地交易總價 27399398元、建物交易總價 2600602元。
20,2,2019/6/5,1168.0,51.2,25.1,82.85%,套房(1房(1廳)1衛),20+,十層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,150,有,,2,含增建或未登記建物。
21,2,2021/2/7,1480.0,67.2,22.02,41.36%,華廈(10層含以下有電梯),20+,六層/十層,房地(土地+建物)+車位,土:1 建:1車:1,9,150,有,有,1,陽台外推;夾層;其他增建;
22,2,2022/3/30,1234.0,79.1,18.69,53.85%,住宅大樓(11層含以上有電梯),20+,八層/十三層,房地(土地+建物)+車位,土:1 建:2車:1,11,150,有,有,1,夾層;其他增建;
23,2,2023/5/10,2398.0,113.1,23.33,63.58%,住宅大樓(11層含以上有電梯),11~20,六層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,9,150,有,有,2,車位編號:37號 其他增建:內梯夾層;其他增建;
24,2,2021/11/7,2100.0,124.1,19.16,62.36%,住宅大樓(11層含以上有電梯),11~20,十層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,11,150,有,有,2,夾層;
25,2,2020/7/27,1340.0,116.1,13.7,61.35%,住宅大樓(11層含以上有電梯),11~20,十二層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,4,150,有,有,2,夾層;其他增建;
26,7,2019/8/27,1170.0,68.0,19.07,83.84%,套房(1房(1廳)1衛),20+,六層/七層,房地(土地+建物)+車位,土:2 建:1車:1,4,150,無,,0,含增建或未登記建物。
27,8,2022/10/13,3150.0,90.5,34.81,87.66%,住宅大樓(11層含以上有電梯),20+,"一層,二層/十二層",房地(土地+建物)+車位,土:2 建:1車:1,,150,有,有,4,含租約;
28,8,2022/7/9,2200.0,81.0,31.52,94.38%,住宅大樓(11層含以上有電梯),20+,九層/十二層,房地(土地+建物)+車位,土:2 建:1車:1,12,150,有,有,1,
29,8,2022/4/24,3888.0,79.7,53.12,76.95%,住宅大樓(11層含以上有電梯),20+,九層/十二層,房地(土地+建物)+車位,土:2 建:1車:1,13,150,有,有,1,陽台外推;
30,9,2023/1/1,3020.0,67.5,51.71,56.36%,華廈(10層含以下有電梯),20+,四層/十層,房地(土地+建物)+車位,土:1 建:1車:1,14,150,有,有,3,陽台外推;其他增建;
31,10,2022/6/5,1568.0,94.5,17.21,46.76%,華廈(10層含以下有電梯),6~10,五層/九層,房地(土地+建物)+車位,土:1 建:1車:1,11,150,有,有,0,塔式車位無固定使用樓層陽台外推;夾層;其他增建;
32,1,2021/9/27,1360.0,70.4,19.33,46.60%,住宅大樓(11層含以上有電梯),20+,十二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,11,150,有,有,0,陽台外推;夾層;其他增建;
33,0,2020/3/31,1790.0,69.7,25.67,58.43%,華廈(10層含以下有電梯),20+,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,9,150,有,,0,含增建或未登記建物。
34,0,2021/2/9,2004.0,94.0,24.94,47.87%,華廈(10層含以下有電梯),2~5,四層/八層,房地(土地+建物)+車位,土:1 建:1車:1,11,150,有,有,0,
35,0,2020/12/18,1980.0,93.9,24.71,46.69%,華廈(10層含以下有電梯),2~5,四層/八層,房地(土地+建物)+車位,土:1 建:1車:1,11,150,有,有,0,
36,0,2020/11/4,1943.0,92.0,24.71,46.69%,華廈(10層含以下有電梯),2~5,六層/八層,房地(土地+建物)+車位,土:1 建:1車:1,,150,有,有,0,
37,4,2021/4/20,1176.0,87.9,17.95,64.77%,華廈(10層含以下有電梯),20+,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,4,150,有,有,0,陽台外推;其他增建;
38,4,2020/12/6,1200.0,91.7,17.73,65.02%,華廈(10層含以下有電梯),20+,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,4,150,有,有,0,
39,4,2019/5/3,1140.0,83.6,18.13,63.88%,套房(1房(1廳)1衛),11~20,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,4,150,有,,0,含增建或未登記建物。
40,4,2020/5/30,1650.0,68.7,30.1,46.69%,華廈(10層含以下有電梯),2~5,四層/六層,房地(土地+建物)+車位,土:1 建:1車:1,4,150,無,有,0,
41,3,2021/4/2,1980.0,48.4,40.88,64.52%,華廈(10層含以下有電梯),20+,"四層,電梯樓梯間/七層",房地(土地+建物)+車位,土:1 建:1車:1,15,160,有,有,0,陽台外推;
42,3,2021/7/30,2930.0,65.2,51.26,60.16%,住宅大樓(11層含以上有電梯),11~20,十三層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,6,160,有,有,0,
43,1,2019/10/26,1500.0,86.3,20.47,56.86%,套房(1房(1廳)1衛),11~20,十六層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,4,160,有,,0,
44,0,2022/5/19,1740.0,81.0,21.49,42.18%,華廈(10層含以下有電梯),11~20,五層/十層,房地(土地+建物)+車位,土:2 建:1車:1,11,160,有,有,0,
45,0,2021/12/16,3928.0,78.7,52.59,50.73%,華廈(10層含以下有電梯),6~10,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,15,160,有,有,0,陽台外推;其他增建;
46,0,2021/10/29,1600.0,82.6,20.36,47.86%,華廈(10層含以下有電梯),2~5,四層/八層,房地(土地+建物)+車位,土:1 建:1車:1,16,160,有,有,0,
47,0,2021/10/29,1565.0,83.5,19.74,40.73%,華廈(10層含以下有電梯),2~5,七層/八層,房地(土地+建物)+車位,土:1 建:1車:1,16,160,有,有,0,
48,4,2019/10/15,2388.0,86.1,33.8,48.50%,華廈(10層含以下有電梯),6~10,七層/七層,房地(土地+建物)+車位,土:1 建:1車:1,11,160,有,,0,含增建或未登記建物。;
49,5,2023/5/23,3350.0,85.5,42.43,58.74%,華廈(10層含以下有電梯),11~20,六層/六層,房地(土地+建物)+車位,土:1 建:1車:1,15,170,有,有,0,陽台外推;其他增建;
50,2,2022/3/23,1438.0,124.2,13.66,63.12%,住宅大樓(11層含以上有電梯),11~20,八層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,11,170,有,有,2,
51,2,2020/12/11,3470.0,71.5,48.53,57.65%,華廈(10層含以下有電梯),11~20,三層/七層,房地(土地+建物)+車位,土:4 建:1車:1,15,170,有,有,0,陽台外推;其他增建;
52,3,2024/1/7,1780.0,120.6,17.4,52.45%,華廈(10層含以下有電梯),2~5,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,9,170,有,有,0,夾層;
53,0,2019/5/18,1575.0,102.7,18.85,49.68%,套房(1房(1廳)1衛),2~5,七層/八層,房地(土地+建物)+車位,土:1 建:1車:1,4,175,有,,0,
54,11,2019/2/9,1550.0,90.6,19.74,54.89%,住宅大樓(11層含以上有電梯),,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,175,有,有,0,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
55,12,2023/11/6,3210.0,71.8,44.79,57.18%,華廈(10層含以下有電梯),11~20,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,15,180,無,有,0,塔式車位無固定樓層。陽台外推;其他增建;
56,12,2023/10/28,3150.0,70.4,44.79,57.18%,華廈(10層含以下有電梯),11~20,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,6,180,無,有,0,陽台外推;
57,12,2019/1/13,2616.0,57.7,44.79,57.18%,華廈(10層含以下有電梯),6~10,三層/七層,房地(土地+建物)+車位,土:1 建:1車:1,15,180,無,,0,含增建或未登記建物。
58,13,2022/5/24,2100.0,107.7,28.75,91.34%,住宅大樓(11層含以上有電梯),20+,一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,180,有,有,1,
59,14,2023/5/21,1215.0,73.6,16.5,35.73%,住宅大樓(11層含以上有電梯),20+,八層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,6,180,有,有,1,夾層;
60,14,2021/12/10,2299.7,91.9,30.23,64.45%,住宅大樓(11層含以上有電梯),20+,十一層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,9,180,有,有,1,
61,14,2021/6/22,1426.0,65.4,21.8,42.18%,住宅大樓(11層含以上有電梯),20+,六層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,4,180,有,有,1,
62,14,2021/4/2,1980.0,70.5,28.1,45.27%,住宅大樓(11層含以上有電梯),11~20,六層/十三層,房地(土地+建物)+車位,土:1 建:1車:1,,180,有,有,1,陽台外推;
63,5,2023/7/31,3460.0,81.9,43.38,65.75%,華廈(10層含以下有電梯),20+,二層/四層,房地(土地+建物)+車位,土:1 建:1車:1,17,180,無,有,0,陽台外推;
64,5,2022/1/13,1530.0,90.3,18.78,68.82%,華廈(10層含以下有電梯),11~20,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,4,180,有,有,0,車位所在樓層:B3陽台外推;夾層;
65,2,2022/4/5,2468.0,68.8,38.67,84.13%,住宅大樓(11層含以上有電梯),20+,八層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,13,180,有,有,1,
66,2,2023/12/19,2085.0,93.0,26.38,62.68%,住宅大樓(11層含以上有電梯),11~20,"三層,四層/十三層",房地(土地+建物)+車位,土:2 建:1車:1,4,180,有,有,0,
67,2,2021/1/23,1386.0,121.6,15.8,63.73%,住宅大樓(11層含以上有電梯),11~20,十層/十三層,房地(土地+建物)+車位,土:2 建:1車:1,4,180,有,有,2,夾層;其他增建;
68,2,2023/11/27,3488.0,105.2,37.31,53.59%,住宅大樓(11層含以上有電梯),11~20,十四層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,9,180,有,有,0,坡道機械車位在地下第六層。
69,2,2023/1/18,2178.0,89.1,28.27,55.24%,住宅大樓(11層含以上有電梯),11~20,三層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,4,180,有,有,0,車位位於地下六層。其他增建;
70,15,2023/3/6,2030.0,101.8,19.94,45.49%,住宅大樓(11層含以上有電梯),11~20,十四層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,4,180,有,有,0,
71,15,2019/6/11,2150.0,134.4,19.94,58.14%,套房(1房(1廳)1衛),11~20,十三層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,4,180,有,,0,含增建或未登記建物。
72,10,2022/7/31,5158.0,86.6,64.18,75.28%,住宅大樓(11層含以上有電梯),20+,六層/十六層,房地(土地+建物)+車位,土:2 建:1車:1,15,180,有,有,0,陽台外推;其他增建;
73,16,2020/10/26,4045.4,56.2,72.04,31.17%,住宅大樓(11層含以上有電梯),11~20,二層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,,180,有,有,1,
74,3,2019/6/29,3680.0,45.1,82.49,92.82%,華廈(10層含以下有電梯),20+,"一層,地下一層/六層",房地(土地+建物)+車位,土:1 建:1車:1,,180,無,,1,
75,3,2021/4/2,1968.0,59.9,40.4,57.75%,華廈(10層含以下有電梯),2~5,二層/六層,房地(土地+建物)+車位,土:1 建:1車:1,18,180,有,有,0,
76,1,2023/11/14,3158.0,79.5,39.72,51.04%,華廈(10層含以下有電梯),20+,六層/六層,房地(土地+建物)+車位,土:1 建:1車:1,18,180,無,有,0,陽台外推;其他增建;
77,1,2023/12/3,1400.0,72.9,19.21,46.88%,住宅大樓(11層含以上有電梯),20+,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,180,有,有,0,夾層;其他增建;
78,1,2023/8/14,3430.0,78.2,43.86,51.17%,住宅大樓(11層含以上有電梯),20+,五層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,6,180,有,有,0,其他增建;
79,1,2022/11/23,2838.0,81.9,34.67,52.38%,住宅大樓(11層含以上有電梯),20+,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,15,180,有,有,0,內梯其他增建;
80,1,2020/11/12,2788.0,75.1,37.13,48.90%,住宅大樓(11層含以上有電梯),20+,十一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,19,180,有,有,0,
81,1,2022/12/13,2138.0,117.6,21.59,58.48%,住宅大樓(11層含以上有電梯),11~20,十九層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,17,180,有,有,0,陽台外推;其他增建;
82,1,2022/2/25,2550.0,90.1,31.25,55.45%,住宅大樓(11層含以上有電梯),11~20,八層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,11,180,有,有,0,其他增建;
83,1,2020/11/20,2500.0,83.9,32.59,56.02%,住宅大樓(11層含以上有電梯),11~20,十三層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,9,180,有,有,0,
84,0,2023/12/27,3850.0,89.0,47.95,84.67%,住宅大樓(11層含以上有電梯),20+,十層/十四層,房地(土地+建物)+車位,土:3 建:1車:1,15,180,有,有,0,陽台外推;其他增建;
85,0,2022/7/23,2350.0,74.6,31.51,47.91%,住宅大樓(11層含以上有電梯),11~20,十層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,15,180,有,有,0,夾層;其他增建;
86,0,2023/11/11,3088.0,101.3,31.69,52.19%,住宅大樓(11層含以上有電梯),11~20,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,8,180,有,有,0,夾層;
87,0,2023/8/16,2300.0,89.1,28.52,57.66%,華廈(10層含以下有電梯),11~20,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,11,180,有,有,2,
88,0,2022/2/14,3880.0,77.3,54.69,47.43%,華廈(10層含以下有電梯),11~20,五層/八層,房地(土地+建物)+車位,土:1 建:1車:1,15,180,有,有,0,
89,17,2022/6/12,2000.0,91.0,25.87,51.84%,華廈(10層含以下有電梯),6~10,三層/七層,房地(土地+建物)+車位,土:1 建:1車:1,11,180,有,有,0,塔式車位在地下三層。 交易總價：2000萬元整。 房屋價格：1820萬元整(土地價格：1274萬元整、建物價格：546萬元整。) 車位價格：180萬元整(土地價格：126萬元整、建物價格：54萬元整。)陽台外推;夾層;其他增建;
90,4,2024/1/15,2450.0,115.3,23.07,61.16%,華廈(10層含以下有電梯),11~20,七層/九層,房地(土地+建物)+車位,土:2 建:1車:1,4,180,有,有,0,塔式車位位於地下三層。
91,4,2021/4/23,1345.0,87.9,17.74,51.96%,住宅大樓(11層含以上有電梯),11~20,七層/十三層,房地(土地+建物)+車位,土:3 建:1車:1,4,180,有,有,2,
92,4,2021/2/2,1466.0,82.0,20.18,54.69%,住宅大樓(11層含以上有電梯),11~20,四層/十三層,房地(土地+建物)+車位,土:3 建:1車:1,4,180,有,有,2,
93,11,2022/7/30,1628.0,103.9,18.45,50.84%,住宅大樓(11層含以上有電梯),,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,185,有,有,0,
94,11,2022/6/9,1600.0,93.7,19.66,50.78%,住宅大樓(11層含以上有電梯),,三層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,,185,有,有,0,
95,11,2019/2/26,1438.0,90.2,18.45,50.84%,住宅大樓(11層含以上有電梯),,五層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,預售屋、或土地及建物分件登記案件;
96,11,2019/2/26,1418.0,88.7,18.45,50.84%,住宅大樓(11層含以上有電梯),,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,預售屋、或土地及建物分件登記案件;
97,11,2019/2/24,3168.0,108.5,32.06,56.41%,住宅大樓(11層含以上有電梯),,十一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
98,11,2019/2/24,1086.0,88.9,14.69,54.70%,住宅大樓(11層含以上有電梯),,七層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
99,11,2019/2/24,1498.0,86.5,19.74,54.89%,住宅大樓(11層含以上有電梯),,六層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,預售屋、或土地及建物分件登記案件;
100,11,2019/2/24,1084.0,88.7,14.69,54.70%,住宅大樓(11層含以上有電梯),,六層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
101,11,2019/2/24,1498.0,86.5,19.74,54.89%,住宅大樓(11層含以上有電梯),,二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
102,11,2019/1/18,1110.0,91.3,14.69,54.70%,住宅大樓(11層含以上有電梯),,九層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,預售屋、或土地及建物分件登記案件;
103,11,2019/1/13,1120.0,92.3,14.69,54.70%,住宅大樓(11層含以上有電梯),,十一層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,4,185,有,有,0,預售屋、或土地及建物分件登記案件;
104,11,2019/1/10,2995.0,101.5,32.23,54.86%,住宅大樓(11層含以上有電梯),,十二層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,11,185,有,有,0,預售屋、或土地及建物分件登記案件;
105,11,2019/1/7,1142.0,94.5,14.69,54.70%,住宅大樓(11層含以上有電梯),,九層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,預售屋、或土地及建物分件登記案件;
106,11,2019/1/4,1566.0,91.0,19.74,54.89%,住宅大樓(11層含以上有電梯),,三層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,買受人又轉售予第三人 信義區虎林段三小段328地號持分1584/100000預售屋、或土地及建物分件登記案件;
107,11,2019/1/2,1105.0,90.8,14.69,54.70%,住宅大樓(11層含以上有電梯),,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,買受人又轉售予第三人預售屋、或土地及建物分件登記案件;
108,11,2019/1/1,1088.0,89.1,14.69,54.70%,住宅大樓(11層含以上有電梯),,三層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,16,185,有,有,0,預售屋、或土地及建物分件登記案件;
109,9,2022/10/7,3230.0,90.0,46.57,70.57%,住宅大樓(11層含以上有電梯),20+,九層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,15,190,有,有,0,
110,17,2021/6/10,2645.0,75.5,42.39,52.01%,住宅大樓(11層含以上有電梯),,十九層/二十層,房地(土地+建物)+車位,土:1 建:1車:1,9,194,有,有,0,親友、員工、共有人或其他特殊關係間之交易;
111,13,2022/7/23,2168.0,68.7,42.4,84.50%,華廈(10層含以下有電梯),20+,一層/七層,房地(土地+建物)+車位,土:1 建:1車:1,18,200,有,有,1,其他增建:陽台隔牆拆除之增建物其他增建;
112,6,2023/12/15,2488.0,109.9,23.75,55.38%,住宅大樓(11層含以上有電梯),11~20,五層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,4,200,有,有,0,塔式車位位於地下二層。夾層;其他增建;
113,7,2023/5/15,3188.0,77.0,46.54,94.97%,華廈(10層含以下有電梯),20+,七層/七層,房地(土地+建物)+車位,土:1 建:1車:1,8,200,有,有,0,陽台外推;其他增建;
114,11,2022/11/3,1750.0,102.1,19.74,54.89%,住宅大樓(11層含以上有電梯),2~5,四層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,20,200,有,有,0,塔式車位位於地下第三層。
115,8,2020/10/27,3570.0,103.7,36.97,89.27%,住宅大樓(11層含以上有電梯),20+,"一層,二層/十二層",房地(土地+建物)+車位,土:1 建:1車:1,,200,有,有,4,
116,18,2022/2/23,3436.7,119.4,32.73,83.82%,住宅大樓(11層含以上有電梯),20+,五層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,15,200,有,有,0,親友、員工、共有人或其他特殊關係間之交易;
117,18,2022/11/17,5200.0,110.4,51.32,48.11%,華廈(10層含以下有電梯),11~20,五層/七層,房地(土地+建物)+車位,土:1 建:2車:1,21,200,有,有,0,總價包含松平路78號5樓1580萬元，80號5樓3420萬陽台外推;
118,18,2021/11/8,2640.0,101.6,32.98,52.00%,華廈(10層含以下有電梯),11~20,三層/八層,房地(土地+建物)+車位,土:1 建:1車:1,11,200,有,有,0,其他增建(雨遮加蓋)陽台外推;其他增建;
119,18,2020/5/21,2626.0,101.0,32.98,52.00%,套房(1房(1廳)1衛),11~20,二層/八層,房地(土地+建物)+車位,土:1 建:1車:1,4,200,有,,0,含增建或未登記建物。
120,18,2019/4/2,1800.0,90.4,23.75,47.02%,套房(1房(1廳)1衛),11~20,二層/七層,房地(土地+建物)+車位,土:1 建:1車:1,4,200,有,,0,
121,15,2021/4/15,2250.0,136.6,20.29,59.83%,住宅大樓(11層含以上有電梯),11~20,九層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,4,200,有,有,0,
122,3,2020/11/10,5998.0,63.9,99.81,72.61%,住宅大樓(11層含以上有電梯),20+,十二層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,8,200,有,有,0,
123,3,2020/3/7,2608.0,69.7,37.4,51.58%,華廈(10層含以下有電梯),11~20,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,15,200,有,,0,含增建或未登記建物。
124,3,2021/2/24,6108.0,70.6,92.47,63.59%,住宅大樓(11層含以上有電梯),11~20,"十二層,十三層/十三層",房地(土地+建物)+車位,土:1 建:1車:1,22,200,有,有,0,陽台外推;其他增建;
125,3,2023/5/6,1738.0,66.9,27.82,52.11%,住宅大樓(11層含以上有電梯),6~10,四層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,11,200,有,有,0,夾層;其他增建;
126,3,2023/2/24,1620.0,61.8,27.81,52.14%,住宅大樓(11層含以上有電梯),6~10,二層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,2,200,有,有,0,夾層;其他增建;
127,3,2022/5/20,3288.0,95.0,36.93,54.64%,住宅大樓(11層含以上有電梯),6~10,五層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,17,200,有,有,0,陽台外推;其他增建;
128,3,2022/5/17,3250.0,98.2,35.48,55.99%,住宅大樓(11層含以上有電梯),6~10,十層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,17,200,有,有,0,
129,3,2022/4/7,2980.0,89.5,35.48,55.99%,住宅大樓(11層含以上有電梯),6~10,九層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,17,200,有,有,0,
130,3,2023/7/22,2900.0,77.5,37.44,48.36%,華廈(10層含以下有電梯),6~10,七層/九層,房地(土地+建物)+車位,土:1 建:1車:1,15,200,有,有,0,
131,3,2021/2/23,2875.0,86.1,35.48,55.99%,住宅大樓(11層含以上有電梯),6~10,六層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,14,200,有,有,0,
132,3,2019/6/2,2500.0,66.8,37.44,48.36%,華廈(10層含以下有電梯),2~5,八層/九層,房地(土地+建物)+車位,土:1 建:1車:1,17,200,有,,0,
133,3,2019/4/2,1430.0,81.9,18.59,58.22%,華廈(10層含以下有電梯),2~5,五層/五層,房地(土地+建物)+車位,土:3 建:1車:1,23,200,有,,0,
134,1,2020/7/9,2120.0,64.6,33.96,90.63%,華廈(10層含以下有電梯),20+,二層/七層,房地(土地+建物)+車位,土:1 建:1車:1,15,200,有,有,0,親友、員工、共有人或其他特殊關係間之交易;
135,1,2023/12/13,3998.0,96.6,41.38,54.96%,住宅大樓(11層含以上有電梯),20+,八層/十二層,房地(土地+建物)+車位,土:1 建:1車:1,24,200,有,有,0,陽台外推;夾層;其他增建;
136,1,2023/3/22,1870.0,76.8,24.36,36.23%,住宅大樓(11層含以上有電梯),20+,八層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,4,200,有,有,1,
137,1,2021/4/28,2685.0,95.3,35.92,55.81%,住宅大樓(11層含以上有電梯),11~20,五層/十九層,房地(土地+建物)+車位,土:1 建:1車:1,9,200,有,有,0,
138,1,2021/11/26,1805.0,72.7,25.99,38.59%,住宅大樓(11層含以上有電梯),11~20,十八層/十九層,房地(土地+建物)+車位,土:1 建:1車:2,16,200,有,有,0,陽台外推;
