地段,datetime,total_price,unit_price,area,主建物佔比,型態,age,樓別/樓高,交易標的,交易筆棟數,建物現況格局,parking_price,管理組織,電梯,主要用途,備註
崇德街,2020/11/8,2730,65.7,41.55,54.50%,華廈(10層含以下有電梯),2,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,,有,有,住家用,
崇德街,2020/7/2,2135,72.5,29.45,54.66%,華廈(10層含以下有電梯),2,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,
崇德街,2019/9/11,3200,77.3,41.4,58.83%,華廈(10層含以下有電梯),1,一層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,,無,,住家用,含增建或未登記建物。;
大道路,2024/1/11,511,66.4,7.69,100.00%,公寓(5樓含以下無電梯),52,四層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;頂樓加蓋;
大道路,2020/11/18,1600,64.7,24.73,88.49%,公寓(5樓含以下無電梯),49,四層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,頂樓加蓋;
大道路,2023/7/2,2230,68.6,32.51,100.00%,公寓(5樓含以下無電梯),48,"三層,陽台/四層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;
大道路,2023/5/27,1780,53.9,33.02,100.00%,公寓(5樓含以下無電梯),48,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
大道路,2022/12/28,1720,52.1,33.02,100.00%,公寓(5樓含以下無電梯),48,"二層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
大道路,2022/1/7,1780,61.2,29.11,100.00%,公寓(5樓含以下無電梯),47,"二層,陽台/四層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,
大道路,2019/1/14,1350,60,22.5,88.53%,公寓(5樓含以下無電梯),47,二層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,,住家用,
大道路,2023/3/16,244,53.7,4.54,100.00%,公寓(5樓含以下無電梯),46,"一層,平台,停車場/四層",房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;
大道路,2022/3/11,923.1,33.8,27.31,100.00%,公寓(5樓含以下無電梯),46,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
大道路,2023/6/22,976,81.1,12.03,87.98%,公寓(5樓含以下無電梯),45,一層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
大道路,2022/5/8,2206,76.3,28.93,89.90%,公寓(5樓含以下無電梯),45,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
大道路,2022/4/23,1750,75.6,23.14,93.53%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,無,無,住家用,
大道路,2020/4/1,4350,114.4,38.01,100.00%,公寓(5樓含以下無電梯),45,"一層,平台,騎樓/四層",房地(土地+建物),土:2 建:1車:0,4廳1衛,,無,,住家用,含增建或未登記建物。
大道路,2019/11/14,500,58.3,8.58,100.00%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,,住家用,親友、員工或其他特殊關係間之交易。;
大道路,2021/12/27,1322.2,57.1,23.14,93.53%,公寓(5樓含以下無電梯),44,三層/四層,房地(土地+建物),土:2 建:1車:0,3房1廳1衛,,無,無,住家用,經破產管理人代為出售案
大道路,2021/10/6,2200,63.2,34.79,92.07%,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),土:1 建:1車:0,6房2廳4衛,,無,無,住家用,
大道路,2020/1/10,1445,60.9,23.73,100.00%,公寓(5樓含以下無電梯),43,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,,住家用,
大道路,2021/11/17,2050,61,33.62,83.19%,公寓(5樓含以下無電梯),41,四層/五層,房地(土地+建物),土:3 建:1車:0,5房5衛,,無,無,住家用,
大道路,2022/10/22,2080,56,37.15,72.37%,公寓(5樓含以下無電梯),40,五層/五層,房地(土地+建物),土:1 建:1車:0,5房3廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
大道路,2020/4/11,1550,53.4,29.01,89.78%,公寓(5樓含以下無電梯),40,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,,住家用,含增建或未登記建物。
大道路,2023/1/8,1900,79.2,23.98,80.29%,華廈(10層含以下有電梯),39,四層/七層,房地(土地+建物),土:4 建:1車:0,2房1廳1衛,,有,有,住家用,其他增建;
大道路,2022/5/14,2320,74,31.37,85.05%,公寓(5樓含以下無電梯),39,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,主建物內含梯間、鐵窗增建頂樓加蓋;其他增建;
大道路,2022/4/29,3200,77.3,41.39,69.39%,公寓(5樓含以下無電梯),39,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住商用,其他增建;
大道路,2022/3/22,2488,74.4,33.42,85.27%,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;
大道路,2022/4/17,2835,78.8,35.98,90.62%,華廈(10層含以下有電梯),38,一層/七層,房地(土地+建物),土:4 建:1車:0,2房2廳2衛,,有,有,商業用,其他增建;
大道路,2021/12/6,2088,54.8,38.11,64.36%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:3 建:1車:0,6房3廳3衛,,無,無,住家用,
大道路,2021/5/11,1828,54.7,33.42,85.27%,公寓(5樓含以下無電梯),38,四層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;
大道路,2021/1/12,1960,52.8,37.15,72.37%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,6房3廳3衛,,無,無,住家用,頂樓加蓋;
大道路,2021/5/7,4150,71.5,58.04,42.26%,公寓(5樓含以下無電梯),37,一層/五層,房地(土地+建物),土:3 建:1車:0,1衛,,無,無,其他,其他增建;
大道路,2021/5/7,4150,71.1,58.4,42.61%,公寓(5樓含以下無電梯),37,一層/五層,房地(土地+建物),土:3 建:1車:0,1衛,,無,無,其他,其他增建;
東興路,2023/12/8,7100,69.8,101.78,81.66%,住宅大樓(11層含以上有電梯),31,九層/十一層,房地(土地+建物),土:2 建:1車:0,,,有,有,工業用,
東興路,2023/2/23,9200,69.6,132.27,87.54%,住宅大樓(11層含以上有電梯),30,十層/十一層,房地(土地+建物),土:2 建:1車:0,,,有,有,工業用,親友、員工、共有人或其他特殊關係間之交易;
東興路,2021/10/19,8563.6,66.4,128.97,84.44%,住宅大樓(11層含以上有電梯),29,九層/十一層,房地(土地+建物),土:2 建:1車:0,,,有,有,工業用,
東興路,2021/7/14,7593.4,57.6,131.83,87.50%,住宅大樓(11層含以上有電梯),28,五層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,工業用,
東興路,2021/6/18,21478,60,357.98,84.16%,住宅大樓(11層含以上有電梯),28,五層/十一層,房地(土地+建物),土:2 建:2車:0,13房3廳3衛,,有,有,工業用,
東興路,2021/4/30,6174,60.7,101.78,81.66%,住宅大樓(11層含以上有電梯),28,十一層/十一層,房地(土地+建物),土:2 建:1車:0,,,有,有,工業用,陽台外推;
東興路,2021/3/31,16000,126.6,126.41,83.96%,住宅大樓(11層含以上有電梯),28,一層/十一層,房地(土地+建物),土:2 建:1車:0,,,有,有,工業用,
東興路,2020/12/17,17024.1,65.5,259.91,88.55%,住宅大樓(11層含以上有電梯),28,四層/十一層,房地(土地+建物),土:2 建:1車:0,,,有,有,工業用,
東興路,2020/12/11,7700,61.5,125.11,85.16%,住宅大樓(11層含以上有電梯),28,九層/十一層,房地(土地+建物),土:2 建:1車:0,2房1廳2衛,,有,有,工業用,
東興路,2020/12/1,12680,55,230.57,83.20%,住宅大樓(11層含以上有電梯),28,六層/十一層,房地(土地+建物),土:2 建:2車:0,,,有,有,工業用,陽台外推;
東興路,2023/6/28,6288,65.7,95.69,58.86%,住宅大樓(11層含以上有電梯),9,二層/十一層,房地(土地+建物)+車位,土:1 建:2車:1,,,有,有,商業用,
東興路,2019/12/23,6150,56.8,108.32,,辦公商業大樓,6,十一層/十一層,房地(土地+建物)+車位,土:1 建:1車:3,,,有,,商業用,
東興路,2019/6/19,6600,60.9,108.32,44.95%,住宅大樓(11層含以上有電梯),5,十一層/十一層,房地(土地+建物)+車位,土:1 建:1車:3,,,無,,商業用,受債權債務影響或債務抵償之交易。;
福德街,2023/4/12,2925,119.4,24.5,100.00%,公寓(5樓含以下無電梯),53,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,1廳1衛,,無,無,住家用,其他增建;
福德街,2023/11/3,1000,46,21.76,100.00%,公寓(5樓含以下無電梯),52,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2023/9/2,1425,65.5,21.76,100.00%,公寓(5樓含以下無電梯),52,"二層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;
福德街,2023/3/9,1800,71.8,25.07,100.00%,公寓(5樓含以下無電梯),51,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2023/2/14,1630,73.8,22.09,100.00%,公寓(5樓含以下無電梯),51,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,陽台外推;頂樓加蓋;
福德街,2023/2/8,1650,79.4,20.77,100.00%,公寓(5樓含以下無電梯),51,"二層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2023/2/1,1900,67.2,28.26,100.00%,公寓(5樓含以下無電梯),50,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,頂樓加蓋;
福德街,2022/11/5,3100,124.7,24.87,100.00%,公寓(5樓含以下無電梯),50,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
福德街,2022/9/1,1380,61.3,22.52,100.00%,公寓(5樓含以下無電梯),50,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2022/7/6,2400,96.5,24.87,100.00%,公寓(5樓含以下無電梯),50,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,其他增建;
福德街,2022/3/12,1500,64.4,23.29,100.00%,公寓(5樓含以下無電梯),50,"四層,露台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;
福德街,2022/1/25,1300,59.7,21.76,100.00%,公寓(5樓含以下無電梯),50,"一層,平台/四層",房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
福德街,2022/1/11,1628,62.6,25.99,100.00%,公寓(5樓含以下無電梯),50,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
福德街,2023/11/30,1838,75.7,24.28,79.44%,公寓(5樓含以下無電梯),49,"二層,陽臺/四層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2023/10/12,1850,62.5,29.58,100.00%,公寓(5樓含以下無電梯),49,"四層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,頂加親友、員工、共有人或其他特殊關係間之交易;其他增建;
福德街,2023/8/13,2100,92.1,22.81,100.00%,公寓(5樓含以下無電梯),49,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,6房1廳5衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
福德街,2023/6/24,1866,71,26.29,100.00%,公寓(5樓含以下無電梯),49,"二層,陽台/四層",房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2023/6/9,1365,131.4,10.39,,公寓(5樓含以下無電梯),49,"一層,平台,騎樓/四層",房地(土地+建物),土:2 建:1車:0,,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2023/4/8,2680,129,20.78,,公寓(5樓含以下無電梯),49,"一層,平台,騎樓/四層",房地(土地+建物),土:2 建:1車:0,1衛,,無,無,住家用,
福德街,2024/1/9,1538,70.1,21.95,100.00%,公寓(5樓含以下無電梯),48,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
福德街,2023/9/24,1750,67,26.11,100.00%,公寓(5樓含以下無電梯),48,"一層,平台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,平台外移.防火巷加蓋之增建其他增建;
福德街,2023/5/12,1100,53.5,20.55,,公寓(5樓含以下無電梯),48,"三層,陽台/四層",房地(土地+建物),土:2 建:1車:0,2房1廳2衛,,無,無,,親友、員工、共有人或其他特殊關係間之交易;陽台外推;
福德街,2023/2/21,1450,63.7,22.77,72.52%,公寓(5樓含以下無電梯),48,"一層,平台/四層",房地(土地+建物),土:2 建:1車:0,3房3衛,,無,無,住家用,其他增建;
福德街,2021/12/28,1888,82.8,22.81,100.00%,公寓(5樓含以下無電梯),48,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,4房4衛,,無,無,住家用,頂樓加蓋;
福德街,2020/9/21,1330,56.4,23.59,100.00%,公寓(5樓含以下無電梯),48,"二層,陽臺/三層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
福德街,2020/5/28,1200,50.9,23.59,100.00%,公寓(5樓含以下無電梯),48,"二層,陽臺/三層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
福德街,2019/10/14,1087,49.9,21.76,100.00%,公寓(5樓含以下無電梯),48,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,,住家用,含增建或未登記建物。;
福德街,2024/1/3,1650,69.4,23.79,93.85%,公寓(5樓含以下無電梯),47,三層/四層,房地(土地+建物),土:5 建:1車:0,3房2廳1衛,,無,無,住家用,
福德街,2023/8/4,1740,71.5,24.32,100.00%,公寓(5樓含以下無電梯),47,"一層,平台/四層",房地(土地+建物),土:5 建:1車:0,5房2廳2衛,,無,無,住家用,其他增建;
福德街,2023/3/19,1468,65.7,22.35,100.00%,公寓(5樓含以下無電梯),47,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,7房7衛,,無,無,住家用,陽台外推;頂樓加蓋;
福德街,2022/12/27,1730,64.5,26.82,100.00%,公寓(5樓含以下無電梯),47,"三層,陽臺/四層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;
福德街,2021/4/16,1615,74.9,21.55,100.00%,公寓(5樓含以下無電梯),47,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,其他增建;
福德街,2021/4/16,2702,130.1,20.78,,公寓(5樓含以下無電梯),47,"一層,平台,騎樓/四層",房地(土地+建物),土:2 建:1車:0,1廳1衛,,無,無,住家用,其他增建;
福德街,2021/4/4,3165,146.9,21.55,100.00%,公寓(5樓含以下無電梯),47,"一層,平台,騎樓/四層",房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,其他增建;
福德街,2023/10/13,3130,89.4,35.03,88.02%,公寓(5樓含以下無電梯),46,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,前後陽台外推。陽台外推;
福德街,2023/10/12,1305,69.7,18.73,85.75%,公寓(5樓含以下無電梯),46,四層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
福德街,2023/6/25,1650,60.8,27.12,87.64%,公寓(5樓含以下無電梯),46,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,其他增建;
福德街,2023/5/17,1270,66.6,19.06,80.29%,公寓(5樓含以下無電梯),46,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2022/7/21,1650,55.9,29.49,100.00%,公寓(5樓含以下無電梯),46,"二層,陽臺/四層",房地(土地+建物),土:3 建:1車:0,4房2廳1衛,,無,無,住家用,陽台外推;
福德街,2020/12/17,1485,71,20.92,,公寓(5樓含以下無電梯),46,"二層,陽台/四層",房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,陽台外推;其他增建;
福德街,2020/7/11,1570,76.4,20.54,93.92%,公寓(5樓含以下無電梯),46,"二層,陽台/四層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2019/1/14,1788,58.3,30.66,100.00%,公寓(5樓含以下無電梯),46,"四層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,,住家用,含增建或未登記建物。;
福德街,2023/12/8,1638,70.7,23.17,87.38%,公寓(5樓含以下無電梯),45,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2023/3/11,1288,56.6,22.74,94.19%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2022/10/9,2138,62,34.46,89.47%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建;
福德街,2022/10/3,1100,57.7,19.06,80.29%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
福德街,2022/5/17,2150,72.6,29.62,87.76%,公寓(5樓含以下無電梯),45,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2023/2/14,1688,74.1,22.79,89.42%,公寓(5樓含以下無電梯),44,"一層,停車場/五層",房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,其他,其他增建：天井。其他增建;
福德街,2023/2/13,1730,75.9,22.79,89.42%,公寓(5樓含以下無電梯),44,一層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,其他增建：天井。其他增建;
福德街,2022/12/20,1100,67.1,16.38,87.33%,公寓(5樓含以下無電梯),44,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2022/9/11,1680,58.4,28.78,88.74%,公寓(5樓含以下無電梯),44,四層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;
福德街,2022/9/2,1888,73.2,25.79,79.38%,公寓(5樓含以下無電梯),44,一層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳1衛,,有,無,商業用,
福德街,2022/7/11,1850,62.5,29.58,88.51%,公寓(5樓含以下無電梯),44,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
福德街,2022/3/14,1380,62.7,22.01,79.84%,公寓(5樓含以下無電梯),44,三層/四層,房地(土地+建物),土:3 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;
福德街,2022/2/10,950,38.8,24.47,90.21%,公寓(5樓含以下無電梯),44,"一層,停車場/四層",房地(土地+建物),土:3 建:1車:0,2房2廳2衛,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;
福德街,2021/5/18,1880,58.4,32.2,89.37%,公寓(5樓含以下無電梯),44,二層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;
福德街,2019/1/11,1370,51,26.85,100.00%,公寓(5樓含以下無電梯),44,"三層,陽台/四層",房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,,住家用,
福德街,2023/8/29,2660,88.6,30.04,89.45%,公寓(5樓含以下無電梯),43,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
福德街,2022/2/22,1650,70.5,23.4,87.18%,公寓(5樓含以下無電梯),43,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
福德街,2021/10/13,1170,40,29.23,88.14%,公寓(5樓含以下無電梯),43,四層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,
福德街,2021/9/18,2021,68.2,29.63,89.57%,公寓(5樓含以下無電梯),43,二層/四層,房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
福德街,2021/7/24,1000,42.7,23.4,87.18%,公寓(5樓含以下無電梯),43,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
福德街,2020/6/7,1808,57,31.72,86.70%,公寓(5樓含以下無電梯),43,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,陽台外推;其他增建;
福德街,2023/5/21,1824,70,26.07,89.14%,公寓(5樓含以下無電梯),42,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;
福德街,2022/3/14,1298,60.9,21.3,80.77%,公寓(5樓含以下無電梯),42,二層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
福德街,2020/4/26,1360,61.8,22.01,79.84%,公寓(5樓含以下無電梯),42,一層/四層,房地(土地+建物),土:3 建:1車:0,4房2廳1衛,,無,,住家用,含增建或未登記建物。
福德街,2019/1/19,1180,61.9,19.06,80.29%,公寓(5樓含以下無電梯),42,一層/四層,房地(土地+建物),土:1 建:1車:0,2房3廳1衛,,無,,住家用,含地下室一房一廳含增建或未登記建物。;
福德街,2023/12/2,2066,57.5,35.92,83.29%,公寓(5樓含以下無電梯),41,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建:防火巷加蓋之增建物陽台外推;其他增建;
福德街,2021/10/2,1770,66.6,26.58,87.02%,公寓(5樓含以下無電梯),41,五層/五層,房地(土地+建物),土:1 建:1車:0,5房2廳2衛,,無,無,住家用,陽台外推;其他增建;
福德街,2021/3/14,1853,54.4,34.06,86.99%,公寓(5樓含以下無電梯),41,二層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,陽台外推;
福德街,2023/11/10,1718,66.9,25.67,88.97%,公寓(5樓含以下無電梯),40,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,
福德街,2023/7/9,2250,64.9,34.64,82.97%,公寓(5樓含以下無電梯),40,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
福德街,2023/7/2,2088,60.2,34.7,77.54%,公寓(5樓含以下無電梯),40,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
福德街,2020/4/19,1700,57.6,29.51,85.60%,公寓(5樓含以下無電梯),40,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,,住家用,含增建或未登記建物。
福德街,2020/3/8,1390,47,29.59,87.36%,公寓(5樓含以下無電梯),40,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,,住家用,含增建或未登記建物。;
福德街,2022/1/9,1700,72.1,23.59,74.95%,公寓(5樓含以下無電梯),39,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,其他增建:天井、防火巷、平台。其他增建;
福德街,2020/4/18,1350,57,23.68,88.20%,公寓(5樓含以下無電梯),39,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,,住家用,
福德街,2024/1/22,2548,58.6,43.48,90.75%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,5房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2024/1/12,3.4,1,3.29,100.00%,公寓(5樓含以下無電梯),38,地下層/五層,房地(土地+建物),土:1 建:1車:0,,,有,無,其他,親友、員工、共有人或其他特殊關係間之交易;
福德街,2023/12/26,1116,33.7,33.08,87.63%,公寓(5樓含以下無電梯),38,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2023/11/25,1412,63.2,22.35,86.72%,公寓(5樓含以下無電梯),38,二層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,有,無,住家用,陽台外推;
福德街,2023/11/20,2500,57.8,43.28,86.26%,公寓(5樓含以下無電梯),38,四層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳1衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
福德街,2023/9/27,1909,59.3,32.2,87.82%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,陽台外推;頂樓加蓋;
福德街,2023/9/5,1530,48.3,31.69,88.38%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
福德街,2023/7/15,2008,55.4,36.27,84.92%,公寓(5樓含以下無電梯),38,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
福德街,2023/4/17,1280,92.9,13.78,83.82%,公寓(5樓含以下無電梯),38,一層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,商業用,其他增建;
福德街,2022/11/10,1800,44.8,40.18,65.79%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,4房3廳3衛,,無,無,住家用,後陽台增建頂樓加蓋;
福德街,2022/5/12,2220,70.1,31.69,80.04%,公寓(5樓含以下無電梯),38,三層/五層,房地(土地+建物),土:6 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
福德街,2022/4/20,1868,67,27.88,84.35%,公寓(5樓含以下無電梯),38,二層/五層,房地(土地+建物),土:6 建:1車:0,2房2廳2衛,,無,無,住家用,
福德街,2021/12/23,1900,71.3,26.66,75.75%,公寓(5樓含以下無電梯),38,一層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,前後方平台其他增建;
福德街,2021/8/21,1780,53.1,33.53,86.54%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:3 建:1車:0,4房2廳1衛,,無,無,住家用,頂樓加蓋;
福德街,2021/4/26,1530,49.9,30.65,82.41%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;
福德街,2021/2/28,1810,55.8,32.42,71.39%,公寓(5樓含以下無電梯),38,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
福德街,2020/11/19,1450,47.3,30.65,82.41%,公寓(5樓含以下無電梯),38,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
